Variable,Value
Total Speeches,161.0
Mean Char Count,1755.0931677018634
Median Char Count,1520.0
Min Char Count,219.0
Max Char Count,10115.0
SD Char Count,1392.6153399325774
Min Year,2000.0
Max Year,2023.0
