Variable,Value
Total Speeches,634.0
Mean Char Count,2296.0520504731862
Median Char Count,1880.0
Min Char Count,149.0
Max Char Count,11137.0
SD Char Count,1640.7562888796613
Min Year,1997.0
Max Year,2023.0
