Variable,Value
Total Speeches,93.0
Mean Char Count,969.1075268817204
Median Char Count,838.0
Min Char Count,241.0
Max Char Count,2963.0
SD Char Count,489.0366853484954
Min Year,2010.0
Max Year,2023.0
