Variable,Value
Total Speeches,3.0
Mean Char Count,933.0
Median Char Count,1140.0
Min Char Count,388.0
Max Char Count,1271.0
SD Char Count,476.5070828434767
Min Year,2012.0
Max Year,2020.0
