Variable,Value
Total Speeches,252.0
Mean Char Count,4020.8809523809523
Median Char Count,3923.0
Min Char Count,418.0
Max Char Count,16503.0
SD Char Count,1953.4727993507033
Min Year,1996.0
Max Year,2023.0
