Variable,Value
Total Speeches,597.0
Mean Char Count,2370.536013400335
Median Char Count,2203.0
Min Char Count,342.0
Max Char Count,7545.0
SD Char Count,1319.505678539317
Min Year,1997.0
Max Year,2023.0
