Variable,Value
Total Speeches,511.0
Mean Char Count,1963.1917808219177
Median Char Count,1723.0
Min Char Count,161.0
Max Char Count,10125.0
SD Char Count,1401.7985598379266
Min Year,1994.0
Max Year,2023.0
