Variable,Value
Total Speeches,37.0
Mean Char Count,1291.3513513513512
Median Char Count,1099.0
Min Char Count,454.0
Max Char Count,4583.0
SD Char Count,742.7100606792897
Min Year,2003.0
Max Year,2020.0
