batch_id,status,ready_to_retrieve,completed,completed_at_time,tokens_submitted,tokens_output,output_path
batch_68c5c2b02e608190999508ed5f723bc6,in_progress,NO,NO,,,,
batch_68c5c2d6a35c819083c5be24fc1d6650,validating,NO,NO,,,,
